🌱 Origen Bahía — Catálogo (Google Sheets),,,,,,,,,,,,,
Nombre del Producto,Descripción,,Precio MXN,Categoría,"Orgánico
(SI/NO)","Artesanal
(SI/NO)",Productor,URL de Imagen,"Unidad
(kg/pza/lt)","Activo
(SI/NO)","Stock
(número o vacío)",Publicar en Carrusel (SI/NO),
nombre,descripcion,presentacion,precio,categoria,organico,artesanal,productor,imagen_url,unidad,activo,stock,carrusel,
Acelga,"Hojas tiernas y nutritivas, ideales para cocinar al vapor o saltear. Manojo.",230 gr.,58,Verduras,SI,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/acelga.jpg,grs.,SI,50,SI,1
Aguacate,"Cremoso, fresco y cosechado en su punto perfecto.",1 pieza,60,Verduras,SI,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/aguacate.jpg,pza,SI,50,SI,2
Ajo y cebolla,"Una deliciosa mezcla de allium sin sal para un sabor extra a cebolla para huevos matutinos, papas al horno o fritas y verduras salteadas. ¡Mézclelo con crema agria o yogur sin azúcar para obtener un delicioso dip de cebolla! ¡Agréguelo a aderezos, salsas, sopas, bistecs, hamburguesas, adobos, mariscos y prácticamente cualquier cosa!",138 gr.,240,Especias,SI ,NO,Sana Spices,https://mercadobahia.com.mx/img_mp/ajo_cebolla.jpg,gr.,SI,50,SI,3
Albahaca italiana,"Aroma fresco e intenso, perfecta para pastas",80 gr.,42,Verduras,SI,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/albahaca.jpg,grs.,SI,50,SI,4
Albahaca santa (Tulsi),,100 g,63,Verduras,SI ,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/albahaca_santa.jpg,gr.,SI,50,SI,5
Albahaca Thai,,100 g,59,Verduras,SI ,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/albahaca_thai.jpg,gr.,SI,50,NO,6
Apio,"Crujiente, fresco y lleno de sabor natural. ",500 grs,70,Verduras,SI,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/apio.jpg,grs.,SI,50,NO,7
Arúgula,Hojas frescas de sabor intenso y ligeramente picante.,100 gr.,42,Verduras,SI,NO,Campo Verde,https://mercadobahia.com.mx/img_mp/arugula.jpg,grs.,SI,50,NO,8
Bálsamo humectante de labios,Manteca de Cacao,5 gr.,150,Cuidado personal,SI ,SI,Pijkual,https://mercadobahia.com.mx/img_mp/balsamo_labios.jpg,gr.,SI,50,NO,9
